timestamp|action|client_ip|path|body_detail
2024/01/24 08:22:41|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:27:40|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:29:23|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:30:22|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:31:04|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:50:19|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:03|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:05|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:51:17|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:19|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:51:22|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:24|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:51:30|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:32|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:51:36|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:38|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:51:45|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:51:47|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:52:19|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:52:21|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:52:37|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{}
2024/01/24 08:52:37|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'Request Body empty'}
2024/01/24 08:53:33|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:53:35|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:54:15|request|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:54:17|response|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 08:59:42|request|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 08:59:44|response|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 09:00:04|request|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:00:06|response|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 09:00:10|request|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'Mesh_no': '', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:00:12|response|GET|172.20.100.49|/backhaul_mesh/GETSerialNumberbackhaulmesh|{'code': 0, 'msg': 'GETSerialNumberbackhaulmesh(x)', 'Value': None}
2024/01/24 09:02:38|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:02:41|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:02:47|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:02:49|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:03:13|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:03:16|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:04:40|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '2', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:04:43|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:04:48|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:04:51|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:05:36|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:07:00|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:08:17|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC0E22F3ABdd'}
2024/01/24 09:10:11|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC06CE4CAA'}
2024/01/24 09:10:16|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'GETMediaTypebackhaulmesh', 'Value': ''}
2024/01/24 09:10:38|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC06CE4CAA'}
2024/01/24 09:10:39|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'Error', 'Value': 'DSN Not Found'}
2024/01/24 09:10:56|request|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'Mesh_no': '1', 'DSN': 'HWTC06CE4CAA'}
2024/01/24 09:11:00|response|GET|172.20.100.49|/backhaul_mesh/GETMediaTypebackhaulmesh|{'code': 0, 'msg': 'GETMediaTypebackhaulmesh', 'Value': ''}
